Year;Sri_Lanka;Germany
2000;6.176;1.3
2001;14.158;2.0
2002;9.551;1.4
2003;6.314;1.0
2004;7.575;1.6
2005;11.639;1.6
2006;10.020;1.6
2007;15.842;2.3
2008;22.564;2.6
2009;2.464;0.3
2010;6.217;1.0
2011;6.716;2.2
2012;7.542;1.9
2013;6.908;1.5
2014;3.179;1.0
2015;3.768;0.5
2016;3.958;0.5
2017;7.704;1.5
2018;2.135;1.8
2019;3.528;1.4
2020;6.153;0.5
2021;7.014;3.1
2022;49.721;6.9
2023;16.541;5.9
