Year,GovernmentdebtofGDP_mean
2000,59.85175
2001,57.9385
2002,59.37925
2003,62.258
2004,64.969
2005,66.70975
2006,67.03675
2007,64.71025
2008,64.5395
2009,70.49475
2010,74.98725
2011,79.1155
2012,79.75425
2013,78.24725
2014,75.406
2015,72.43225
2016,69.69475
2017,65.5475
2018,61.794
2019,59.84575
2020,65.59075
2021,68.3055
2022,65.967
2023,63.70375
2024,62.22
