Year,Country,GDP (billion US$),Government debt (% of GDP),"Industry (including construction), value added (% of GDP)","Agriculture, forestry, and fishing, value added (% of GDP)","Services, value added (% of GDP)",Military expenditure (% of GDP),GDP per capita (current US$),GDP (billion US$) Annual Change (%),GDP per capita (current US$) Annual Change (%)
2000,Germany,1967.0,59.3,27.25364612,0.996168402,61.68374294,1.358883033,23925.85599,0,0
2000,Sri Lanka,16.3,96.9040326453759,27.3180767964657,19.9273150418722,52.7545992799188,5.03387296841704,870.0,0,0
2001,Germany,1966.4,58.2,26.57854823,1.083337508,62.4078924,1.323438303,23878.36415,-0.030503304524653885,-0.198495886708705
2001,Sri Lanka,15.7,103.219274149885,26.8205944160785,20.0666052033611,53.1127923586647,4.28699058949232,833.0,-3.6809815950920366,-4.252873563218396
2002,Germany,2102.4,59.9,25.79838623,0.901338515,63.41285262,1.327958121,25486.5942,6.916192026037438,6.735093073785792
2002,Sri Lanka,16.5,105.524990754701,28.0106134516732,14.2793225360883,57.7100640122386,3.34258944021437,867.0,5.095541401273884,4.081632653061229
2003,Germany,2534.7,63.5,25.62073536,0.829342961,63.51310464,1.316924865,30711.10225,20.562214611872133,20.49904357169856
2003,Sri Lanka,18.9,102.270712023476,28.4245704176973,13.230514884212,58.3448927498315,2.86891182725842,982.0,14.545454545454529,13.264129181084193
2004,Germany,2852.3,65.2,25.83862471,0.948871367,63.44280955,1.268957396,34566.73591,12.530082455517434,12.55452711730658
2004,Sri Lanka,20.7,102.328536698869,28.6181015199147,12.5438041438828,58.8380943362025,2.99735847919569,1066.0,9.523809523809534,8.553971486761714
2005,Germany,2893.4,67.5,25.6870805,0.726057849,63.67423281,1.065629701,35084.43635,1.4409423973635205,1.4976839043984835
2005,Sri Lanka,24.4,90.6049131149854,30.1880884644457,11.8194768226447,57.9924347129097,2.6395333951407,1249.0,17.87439613526569,17.16697936210132
2006,Germany,3046.3,66.9,26.26004666,0.716599758,63.07722428,1.199302958,36980.33499,5.284440450680861,5.4038167268433135
2006,Sri Lanka,28.3,88.6994841221229,30.6422951801489,11.3362802346632,58.0214245851879,2.79877359903086,1436.0,15.983606557377051,14.971977582065655
2007,Germany,3484.1,64.2,26.45970844,0.822076768,62.233953,1.172471765,42350.92172,14.37153267898761,14.522817955684486
2007,Sri Lanka,32.4,84.9944169483341,29.9198197775274,11.6831643328505,58.3970158896221,3.26060835702917,1630.0,14.487632508833915,13.509749303621167
2008,Germany,3808.8,65.7,26.06009237,0.836898767,62.58468228,1.209034004,46386.32959,9.319479923079133,9.528500693986786
2008,Sri Lanka,40.7,81.5,29.3711947494741,13.379200767591,57.2496044829348,3.24360178402603,2037.0,25.61728395061731,24.96932515337422
2009,Germany,3479.8,73.2,23.87310762,0.6701752,64.62553159,1.310604073,42487.21371,-8.637891199327875,-8.405743490514439
2009,Sri Lanka,42.1,86.063491912486,29.6714387318411,12.691971303497,57.6365899646619,3.16189871004304,2090.0,3.439803439803435,2.6018654884634174
2010,Germany,3468.2,82.0,26.06312546,0.775746734,62.68361582,1.266826626,42409.9357,-0.33335249152250945,-0.18188533267319285
2010,Sri Lanka,58.6,69.2530251841062,27.7831982979266,9.04833700695796,53.0103501848071,2.70074784039336,2800.0,39.19239904988123,33.97129186602872
