Year,"tourists arrived"
2000,113700000
2001,1128000000
2002,11000000
2003,112600000
2004,116400000
2005,120600000
2006,125200000
2007,129900000
2008,132900000
2009,132800000
2010,140000000
2011,147300000
2012,152700000
2013,155200000
2014,160800000
2015,166800000
2016,171600000
2017,178200000
2018,185100000
2019,190940000
2020,98150000
2021,96830000
2022,163040000
2023,183270000
2024,0
