Year,tourists arrived
2000,18980000
2001,17860000
2002,17970000
2003,18400000
2004,20140000
2005,21500000
2006,23570000
2007,24420000
2008,24880000
2009,24220000
2010,26880000
2011,28370000
2012,30410000
2013,31550000
2014,33000000
2015,34970000
2016,35560000
2017,37450000
2018,38880000
2019,39560000
2020,12450000
2021,11690000
2022,28460000
2023,34800000
2024,0
